Location,Longitude,Latitude
University of Ghana,-0.1962244,5.650562
Akuafo Hall,-0.18570339999999996,5.6504233
Volta Hall,-0.189828,5.651687
Commonwealth Hall,-0.19255780000000003,5.650778600000001
Mensah Sarbah Hall,-0.1861566,5.645423300000001
LEGON HALL ANNEX B,-0.18846429999999997,5.6469648999999995
Legon Hall Annex C (GRADUATE HOSTEL),-0.1889045,5.6473666
Legon Hall Annex A,-0.18840879999999996,5.6479501999999995
Mensah Sarbah Annex A Block,-0.1851638,5.6458409
Mensah Sarbah Annex C,-0.1853728,5.6453798
Mensah Sarbah Annex D,-0.1857564,5.645478
Akuafo Hall Annex A,-0.1855917,5.647922299999999
Akuafo Hall Annex B,-0.1856753,5.6469289
Loading... Wait a few more moments,-0.18530500000000003,5.647463300000001
Akuafo Hall Annex D,-0.1858704,5.6472017999999995
Dr. Hilla Limann Hall,-0.18488349999999998,5.637331700000001
Jean Nelson Aka Hall,-0.1884651,5.6352521
Alexander Kwapong Hall,-0.1861621,5.637268
Elizabeth Frances Sey Hall,-0.1875964,5.635961099999999
Jubilee Hall,-0.1862323,5.6403435
International Student Hostel- ISH,-0.18519879999999997,5.640027399999999
Vikings Hostel,-0.18542699999999995,5.644369099999999
GHANA HOSTELS LTD FLATS PENTAGON,-0.1814073,5.656601800000001
Bani Hostel,-0.1797826,5.6630910000000005
Evandy Hostel Legon campus,-0.18174359999999998,5.662996899999999
